,year,co2
899,Year 1285,282.6
900,Year 1285,282.6
901,Year 1285,282.6
902,Year 1280,282.5
903,Year 1280,282.5
904,Year 1280,282.5
905,Year 1280,282.5
906,Year 1280,282.5
907,Year 1280,282.5
908,Year 1275,282.3
909,Year 1275,282.3
910,Year 1275,282.3
911,Year 1275,282.3
912,Year 1275,282.3
913,Year 1275,282.3
914,Year 1270,282.2
915,Year 1270,282.2
916,Year 1270,282.2
917,Year 1270,282.2
918,Year 1270,282.2
919,Year 1270,282.2
920,Year 1265,282.1
921,Year 1265,282.1
922,Year 1265,282.1
923,Year 1265,282.1
924,Year 1265,282.1
925,Year 1265,282.1
926,Year 1260,282
927,Year 1260,282
928,Year 1260,282
929,Year 1260,282
930,Year 1260,282
931,Year 1260,282
932,Year 1255,281.9
933,Year 1255,281.9
934,Year 1255,281.9
935,Year 1255,281.9
936,Year 1255,281.9
937,Year 1255,281.9
938,Year 1250,281.9
939,Year 1250,281.9
940,Year 1250,281.9
941,Year 1250,281.9
942,Year 1250,281.9
943,Year 1250,281.9
944,Year 1245,281.9
945,Year 1245,281.9
946,Year 1245,281.9
947,Year 1245,281.9
948,Year 1245,281.9
949,Year 1245,281.9
950,Year 1240,282
951,Year 1240,282
952,Year 1240,282
953,Year 1240,282
954,Year 1240,282
955,Year 1240,282
956,Year 1235,282.2
957,Year 1235,282.2
958,Year 1235,282.2
959,Year 1235,282.2
960,Year 1235,282.2
961,Year 1235,282.2
962,Year 1230,282.3
963,Year 1230,282.3
964,Year 1230,282.3
965,Year 1230,282.3
966,Year 1230,282.3
967,Year 1230,282.3
968,Year 1225,282.5
969,Year 1225,282.5
970,Year 1225,282.5
971,Year 1225,282.5
972,Year 1225,282.5
973,Year 1225,282.5
974,Year 1220,282.8
975,Year 1220,282.8
976,Year 1220,282.8
977,Year 1220,282.8
978,Year 1220,282.8
979,Year 1220,282.8
980,Year 1215,283
981,Year 1215,283
982,Year 1215,283
983,Year 1215,283
984,Year 1215,283
985,Year 1215,283
986,Year 1210,283.2
987,Year 1210,283.2
988,Year 1210,283.2
989,Year 1210,283.2
990,Year 1210,283.2
991,Year 1210,283.2
992,Year 1205,283.4
993,Year 1205,283.4
994,Year 1205,283.4
995,Year 1205,283.4
996,Year 1205,283.4
997,Year 1205,283.4
998,Year 1200,283.6
999,Year 1200,283.6
1000,Year 1200,283.6
1001,Year 1200,283.6
1002,Year 1200,283.6
1003,Year 1200,283.6
1004,Year 1195,283.8
1005,Year 1195,283.8
1006,Year 1195,283.8
1007,Year 1195,283.8
1008,Year 1195,283.8
1009,Year 1195,283.8
1010,Year 1190,283.9
1011,Year 1190,283.9
1012,Year 1190,283.9
1013,Year 1190,283.9
1014,Year 1190,283.9
1015,Year 1190,283.9
1016,Year 1185,284
1017,Year 1185,284
1018,Year 1185,284
1019,Year 1185,284
1020,Year 1185,284
1021,Year 1185,284
1022,Year 1180,284
1023,Year 1180,284
1024,Year 1180,284
1025,Year 1180,284
1026,Year 1180,284
1027,Year 1180,284
1028,Year 1175,284.1
1029,Year 1175,284.1
1030,Year 1175,284.1
1031,Year 1175,284.1
1032,Year 1175,284.1
1033,Year 1175,284.1
1034,Year 1170,284.1
1035,Year 1170,284.1
1036,Year 1170,284.1
1037,Year 1170,284.1
1038,Year 1170,284.1
1039,Year 1170,284.1
1040,Year 1165,284.1
1041,Year 1165,284.1
1042,Year 1165,284.1
1043,Year 1165,284.1
1044,Year 1165,284.1
1045,Year 1165,284.1
1046,Year 1160,284
1047,Year 1160,284
1048,Year 1160,284
1049,Year 1160,284
1050,Year 1160,284
1051,Year 1160,284
1052,Year 1155,284
1053,Year 1155,284
1054,Year 1155,284
1055,Year 1155,284
1056,Year 1155,284
1057,Year 1155,284
1058,Year 1150,283.9
1059,Year 1150,283.9
1060,Year 1150,283.9
1061,Year 1150,283.9
1062,Year 1150,283.9
1063,Year 1150,283.9
1064,Year 1145,283.8
1065,Year 1145,283.8
1066,Year 1145,283.8
1067,Year 1145,283.8
1068,Year 1145,283.8
1069,Year 1145,283.8
1070,Year 1145,283.8
1071,Year 1140,283.7
1072,Year 1140,283.7
1073,Year 1140,283.7
1074,Year 1140,283.7
1075,Year 1140,283.7
1076,Year 1140,283.7
1077,Year 1135,283.6
1078,Year 1135,283.6
1079,Year 1135,283.6
1080,Year 1135,283.6
1081,Year 1135,283.6
1082,Year 1135,283.6
1083,Year 1130,283.5
1084,Year 1130,283.5
1085,Year 1130,283.5
1086,Year 1130,283.5
1087,Year 1130,283.5
1088,Year 1130,283.5
1089,Year 1125,283.3
1090,Year 1125,283.3
1091,Year 1125,283.3
1092,Year 1125,283.3
1093,Year 1125,283.3
1094,Year 1125,283.3
1095,Year 1120,283.2
1096,Year 1120,283.2
1097,Year 1120,283.2
1098,Year 1120,283.2
1099,Year 1120,283.2
1100,Year 1120,283.2
1101,Year 1115,283
1102,Year 1115,283
1103,Year 1115,283
1104,Year 1115,283
1105,Year 1115,283
1106,Year 1115,283
1107,Year 1110,282.9
1108,Year 1110,282.9
1109,Year 1110,282.9
1110,Year 1110,282.9
1111,Year 1110,282.9
1112,Year 1110,282.9
1113,Year 1105,282.7
1114,Year 1105,282.7
1115,Year 1105,282.7
1116,Year 1105,282.7
1117,Year 1105,282.7
1118,Year 1105,282.7
1119,Year 1100,282.5
1120,Year 1100,282.5
1121,Year 1100,282.5
1122,Year 1100,282.5
1123,Year 1100,282.5
1124,Year 1100,282.5
1125,Year 1095,282.3
1126,Year 1095,282.3
1127,Year 1095,282.3
1128,Year 1095,282.3
1129,Year 1095,282.3
1130,Year 1095,282.3
1131,Year 1090,282.1
1132,Year 1090,282.1
1133,Year 1090,282.1
1134,Year 1090,282.1
1135,Year 1090,282.1
1136,Year 1090,282.1
1137,Year 1085,281.9
1138,Year 1080,281.7
1139,Year 1075,281.5
1140,Year 1070,281.3
1141,Year 1065,281.1
1142,Year 1060,280.9
1143,Year 1055,280.7
1144,Year 1050,280.5
1145,Year 1045,280.3
1146,Year 1040,280.2
1147,Year 1035,280
1148,Year 1030,279.9
1149,Year 1025,279.8
1150,Year 1020,279.7
1151,Year 1015,280
1152,Year 1010,280
