time,station,land
1896.21,-0.59,-0.26
1896.29,-0.44,-0.30
1896.38,-0.34,-0.15
1896.46,-0.36,-0.11
1896.54,-0.14,-0.02
1896.63,-0.30,-0.05
1896.71,-0.14,-0.07
1896.79,-0.11,0.07
1896.88,-0.29,-0.04
1896.96,-0.16,-0.04
1897.04,-0.18,-0.15
1897.13,-0.38,-0.16
1897.21,-0.22,-0.13
1897.29,-0.08,-0.02
1897.38,-0.12,-0.01
1897.46,0.02,-0.11
1897.54,0.06,-0.02
1897.63,-0.21,-0.09
1897.71,-0.08,-0.08
1897.79,-0.16,-0.12
1897.88,0.09,-0.18
1897.96,-0.18,-0.19
1898.04,-0.04,-0.01
1898.13,-0.47,-0.30
1898.21,-0.74,-0.50
1898.29,-0.47,-0.30
1898.38,-0.60,-0.30
1898.46,-0.24,-0.18
1898.54,-0.23,-0.21
1898.63,-0.19,-0.26
1898.71,0.04,-0.21
1898.79,-0.39,-0.34
1898.88,-0.35,-0.38
1898.96,-0.12,-0.23
1899.04,-0.26,-0.16
1899.13,-0.55,-0.38
1899.21,-0.36,-0.36
1899.29,-0.15,-0.20
1899.38,-0.32,-0.23
1899.46,-0.43,-0.31
1899.54,-0.20,-0.16
1899.63,-0.27,-0.08
1899.71,-0.01,-0.05
1899.79,-0.16,-0.04
1899.88,0.04,0.13
1899.96,-0.15,-0.26
1900.04,-0.42,-0.35
1900.13,-0.01,-0.05
1900.21,-0.11,0.01
1900.29,0.00,-0.08
1900.38,-0.10,-0.09
1900.46,0.00,-0.09
1900.54,-0.28,-0.13
1900.63,0.00,-0.09
1900.71,0.05,-0.05
1900.79,0.24,0.10
1900.88,0.02,-0.06
1900.96,-0.04,-0.06
1901.04,-0.19,-0.21
1901.13,-0.24,-0.11
1901.21,-0.10,0.06
1901.29,0.00,-0.02
1901.38,-0.08,-0.15
1901.46,0.10,-0.12
1901.54,-0.16,-0.14
1901.63,-0.14,-0.21
1901.71,0.04,-0.22
1901.79,-0.05,-0.29
1901.88,-0.11,-0.18
1901.96,-0.18,-0.27
1902.04,-0.18,-0.18
1902.13,-0.02,-0.07
1902.21,-0.14,-0.28
1902.29,-0.14,-0.29
1902.38,-0.19,-0.32
1902.46,-0.17,-0.30
1902.54,-0.36,-0.28
1902.63,-0.39,-0.30
1902.71,-0.35,-0.29
1902.79,-0.35,-0.29
1902.88,-0.34,-0.35
1902.96,-0.44,-0.42
1903.04,-0.29,-0.23
1903.13,-0.10,-0.06
1903.21,-0.09,-0.22
1903.29,-0.45,-0.41
1903.38,-0.28,-0.40
1903.46,-0.50,-0.42
1903.54,-0.24,-0.36
1903.63,-0.30,-0.45
1903.71,-0.37,-0.50
1903.79,-0.37,-0.48
1903.88,-0.38,-0.42
1903.96,-0.51,-0.51
1904.04,-0.65,-0.63
1904.13,-0.68,-0.57
1904.21,-0.47,-0.48
1904.29,-0.33,-0.50
1904.38,-0.50,-0.52
1904.46,-0.41,-0.48
1904.54,-0.50,-0.51
1904.63,-0.43,-0.49
1904.71,-0.48,-0.55
1904.79,-0.45,-0.39
1904.88,-0.13,-0.17
1904.96,-0.34,-0.33
1905.04,-0.37,-0.34
1905.13,-0.88,-0.59
1905.21,-0.24,-0.21
1905.29,-0.24,-0.33
1905.38,-0.26,-0.29
1905.46,-0.34,-0.28
1905.54,-0.37,-0.27
1905.63,-0.23,-0.20
1905.71,-0.20,-0.19
1905.79,-0.33,-0.25
1905.88,-0.02,-0.06
1905.96,-0.17,-0.13
1906.04,-0.12,-0.28
1906.13,-0.33,-0.29
1906.21,-0.35,-0.18
1906.29,0.05,-0.05
1906.38,-0.23,-0.26
1906.46,-0.17,-0.20
1906.54,-0.09,-0.23
1906.63,-0.10,-0.20
1906.71,-0.25,-0.28
1906.79,-0.13,-0.20
1906.88,-0.49,-0.37
1906.96,-0.15,-0.14
1907.04,-0.48,-0.43
1907.13,-0.60,-0.51
1907.21,-0.41,-0.27
1907.29,-0.51,-0.37
1907.38,-0.64,-0.46
1907.46,-0.60,-0.42
1907.54,-0.35,-0.35
1907.63,-0.47,-0.34
1907.71,-0.34,-0.34
1907.79,-0.18,-0.23
1907.88,-0.45,-0.46
1907.96,-0.51,-0.46
1908.04,-0.37,-0.44
1908.13,-0.37,-0.32
1908.21,-0.51,-0.55
1908.29,-0.41,-0.44
1908.38,-0.22,-0.37
1908.46,-0.34,-0.38
1908.54,-0.30,-0.35
1908.63,-0.39,-0.46
1908.71,-0.11,-0.36
1908.79,-0.32,-0.44
1908.88,-0.56,-0.51
1908.96,-0.37,-0.49
1909.04,-0.78,-0.72
1909.13,-0.52,-0.46
1909.21,-0.53,-0.54
1909.29,-0.54,-0.59
1909.38,-0.53,-0.54
1909.46,-0.30,-0.51
1909.54,-0.29,-0.45
1909.63,-0.09,-0.33
1909.71,-0.21,-0.38
1909.79,-0.19,-0.39
1909.88,-0.13,-0.31
1909.96,-0.51,-0.56
1910.04,-0.32,-0.41
1910.13,-0.26,-0.41
1910.21,-0.44,-0.50
1910.29,-0.33,-0.42
1910.38,-0.23,-0.33
1910.46,-0.33,-0.38
1910.54,-0.21,-0.34
1910.63,-0.13,-0.36
1910.71,-0.10,-0.38
1910.79,-0.31,-0.41
1910.88,-0.48,-0.54
1910.96,-0.62,-0.66
1911.04,-0.62,-0.62
1911.13,-0.65,-0.57
1911.21,-0.61,-0.61
1911.29,-0.47,-0.53
1911.38,-0.38,-0.51
1911.46,-0.46,-0.50
1911.54,-0.21,-0.41
1911.63,-0.30,-0.43
1911.71,-0.28,-0.40
1911.79,-0.21,-0.26
1911.88,-0.15,-0.20
1911.96,-0.23,-0.20
1912.04,-0.20,-0.24
1912.13,-0.13,-0.13
1912.21,-0.48,-0.37
1912.29,-0.31,-0.17
1912.38,-0.21,-0.20
1912.46,-0.19,-0.22
1912.54,-0.47,-0.42
1912.63,-0.57,-0.54
1912.71,-0.48,-0.58
1912.79,-0.48,-0.57
1912.88,-0.44,-0.38
1912.96,-0.35,-0.42
1913.04,-0.41,-0.40
1913.13,-0.48,-0.44
1913.21,-0.52,-0.42
1913.29,-0.33,-0.39
1913.38,-0.56,-0.43
1913.46,-0.52,-0.45
1913.54,-0.24,-0.36
1913.63,-0.19,-0.33
1913.71,-0.15,-0.34
1913.79,-0.26,-0.32
1913.88,-0.16,-0.19
1913.96,0.04,-0.02
1914.04,0.17,0.05
1914.13,-0.05,-0.09
1914.21,-0.10,-0.24
1914.29,-0.21,-0.29
1914.38,-0.03,-0.21
1914.46,-0.10,-0.25
1914.54,-0.23,-0.23
1914.63,-0.10,-0.16
1914.71,-0.15,-0.17
1914.79,0.13,-0.03
1914.88,-0.29,-0.15
1914.96,-0.15,-0.03
1915.04,-0.20,-0.20
1915.13,-0.01,-0.03
1915.21,-0.18,-0.09
1915.29,-0.04,0.07
1915.38,-0.20,-0.06
1915.46,-0.25,-0.21
1915.54,-0.03,-0.12
1915.63,-0.22,-0.22
1915.71,-0.03,-0.20
1915.79,-0.06,-0.24
1915.88,0.01,-0.12
1915.96,-0.18,-0.21
1916.04,-0.09,-0.12
1916.13,-0.12,-0.14
1916.21,-0.44,-0.28
1916.29,-0.25,-0.30
1916.38,-0.38,-0.34
1916.46,-0.52,-0.49
1916.54,-0.36,-0.37
1916.63,-0.19,-0.28
1916.71,-0.23,-0.36
1916.79,-0.26,-0.33
1916.88,-0.45,-0.45
1916.96,-0.78,-0.81
1917.04,-0.49,-0.57
1917.13,-0.68,-0.63
1917.21,-0.81,-0.63
1917.29,-0.57,-0.54
