,year,sealevel
594,Year 1520,3.5
595,Year 1520,3.5
596,Year 1520,3.5
597,Year 1520,3.5
598,Year 1520,3.5
599,Year 1520,3.5
600,Year 1520,3.5
601,Year 1520,3.5
602,Year 1520,3.5
603,Year 1520,3.5
604,Year 1520,3.5
605,Year 1520,3.5
606,Year 1520,3.5
607,Year 1520,3.5
608,Year 1520,3.5
609,Year 1520,3.5
610,Year 1500,2.6
611,Year 1500,2.6
612,Year 1500,2.6
613,Year 1500,2.6
614,Year 1500,2.6
615,Year 1500,2.6
616,Year 1500,2.6
617,Year 1500,2.6
618,Year 1500,2.6
619,Year 1500,2.6
620,Year 1500,2.6
621,Year 1500,2.6
622,Year 1500,2.6
623,Year 1500,2.6
624,Year 1500,2.6
625,Year 1500,2.6
626,Year 1500,2.6
627,Year 1500,2.6
628,Year 1500,2.6
629,Year 1500,2.6
630,Year 1500,2.6
631,Year 1500,2.6
632,Year 1500,2.6
633,Year 1500,2.6
634,Year 1480,1.1
635,Year 1480,1.1
636,Year 1480,1.1
637,Year 1480,1.1
638,Year 1480,1.1
639,Year 1480,1.1
640,Year 1480,1.1
641,Year 1480,1.1
642,Year 1480,1.1
643,Year 1480,1.1
644,Year 1480,1.1
645,Year 1480,1.1
646,Year 1480,1.1
647,Year 1480,1.1
648,Year 1480,1.1
649,Year 1480,1.1
650,Year 1480,1.1
651,Year 1480,1.1
652,Year 1480,1.1
653,Year 1480,1.1
654,Year 1480,1.1
655,Year 1480,1.1
656,Year 1480,1.1
657,Year 1480,1.1
658,Year 1460,-0.3
659,Year 1460,-0.3
660,Year 1460,-0.3
661,Year 1460,-0.3
662,Year 1460,-0.3
663,Year 1460,-0.3
664,Year 1460,-0.3
665,Year 1460,-0.3
666,Year 1460,-0.3
667,Year 1460,-0.3
668,Year 1460,-0.3
669,Year 1460,-0.3
670,Year 1460,-0.3
671,Year 1460,-0.3
672,Year 1460,-0.3
673,Year 1460,-0.3
674,Year 1460,-0.3
675,Year 1460,-0.3
676,Year 1460,-0.3
677,Year 1460,-0.3
678,Year 1460,-0.3
679,Year 1460,-0.3
680,Year 1460,-0.3
681,Year 1460,-0.3
682,Year 1440,-1.1
683,Year 1440,-1.1
684,Year 1440,-1.1
685,Year 1440,-1.1
686,Year 1440,-1.1
