,year,n2o
495,Year 1608,266.5
496,Year 1607,266.6
497,Year 1606,266.7
498,Year 1605,266.8
499,Year 1604,266.9
500,Year 1604,266.9
501,Year 1603,267
502,Year 1602,267.1
503,Year 1601,267.2
504,Year 1600,267.4
505,Year 1599,267.5
506,Year 1598,267.6
507,Year 1598,267.6
508,Year 1597,267.7
509,Year 1596,267.8
510,Year 1595,267.9
511,Year 1594,268
512,Year 1593,268.1
513,Year 1593,268.1
514,Year 1592,268.2
515,Year 1591,268.3
516,Year 1590,268.4
517,Year 1589,268.5
518,Year 1588,268.6
519,Year 1588,268.6
520,Year 1587,268.7
521,Year 1586,268.7
522,Year 1585,268.8
523,Year 1584,268.9
524,Year 1583,269
525,Year 1583,269
526,Year 1582,269
527,Year 1581,269.1
528,Year 1580,269.2
529,Year 1579,269.3
530,Year 1578,269.3
531,Year 1578,269.3
532,Year 1577,269.4
533,Year 1576,269.4
534,Year 1575,269.5
535,Year 1574,269.5
536,Year 1573,269.6
537,Year 1573,269.6
538,Year 1572,269.7
539,Year 1571,269.7
540,Year 1570,269.8
541,Year 1569,269.8
542,Year 1568,269.8
543,Year 1568,269.8
544,Year 1567,269.9
545,Year 1566,269.9
546,Year 1565,270
547,Year 1564,270
548,Year 1563,270
549,Year 1562,270.1
550,Year 1562,270.1
551,Year 1561,270.1
552,Year 1560,270.1
553,Year 1559,270.1
554,Year 1558,270.1
555,Year 1557,270.2
556,Year 1557,270.2
557,Year 1556,270.2
558,Year 1555,270.2
559,Year 1554,270.2
560,Year 1553,270.2
561,Year 1552,270.1
562,Year 1552,270.1
563,Year 1551,270.1
564,Year 1550,270.1
565,Year 1549,270
566,Year 1548,270
567,Year 1547,269.9
568,Year 1547,269.9
569,Year 1546,269.9
570,Year 1545,269.9
571,Year 1544,269.8
572,Year 1543,269.8
573,Year 1542,269.8
574,Year 1542,269.8
575,Year 1541,269.9
576,Year 1540,269.9
577,Year 1539,270
578,Year 1538,270.2
579,Year 1537,270.3
580,Year 1537,270.3
581,Year 1536,270.6
582,Year 1535,270.8
583,Year 1534,271.1
584,Year 1533,271.5
585,Year 1532,271.8
586,Year 1532,271.8
587,Year 1531,272.2
588,Year 1530,272.5
589,Year 1529,272.8
590,Year 1528,273
591,Year 1527,273.1
592,Year 1526,273.3
593,Year 1526,273.3
594,Year 1525,273.3
595,Year 1524,273.4
596,Year 1523,273.4
597,Year 1522,273.3
598,Year 1521,273.3
599,Year 1521,273.3
600,Year 1520,273.2
601,Year 1519,273
602,Year 1518,272.9
603,Year 1517,272.7
604,Year 1516,272.5
605,Year 1515,272.3
606,Year 1514,272
607,Year 1513,271.8
608,Year 1512,271.5
609,Year 1511,271.2
610,Year 1510,270.9
611,Year 1509,270.7
612,Year 1508,270.4
613,Year 1507,270.1
614,Year 1506,269.8
615,Year 1506,269.8
616,Year 1505,269.5
617,Year 1504,269.2
618,Year 1503,268.9
619,Year 1502,268.6
620,Year 1501,268.4
621,Year 1501,268.4
622,Year 1500,268.2
623,Year 1499,267.9
624,Year 1498,267.7
625,Year 1497,267.5
626,Year 1496,267.3
627,Year 1496,267.3
628,Year 1495,267.2
629,Year 1494,267
630,Year 1493,266.8
631,Year 1492,266.7
632,Year 1491,266.6
633,Year 1490,266.5
634,Year 1490,266.5
635,Year 1489,266.4
636,Year 1488,266.3
637,Year 1487,266.2
638,Year 1486,266.1
639,Year 1485,266
640,Year 1485,266
641,Year 1484,266
642,Year 1483,265.9
643,Year 1482,265.9
644,Year 1481,265.9
645,Year 1480,265.8
646,Year 1480,265.8
647,Year 1479,265.8
648,Year 1478,265.8
649,Year 1477,265.8
650,Year 1476,265.8
651,Year 1475,265.8
652,Year 1475,265.8
653,Year 1474,265.8
654,Year 1473,265.9
655,Year 1472,265.9
656,Year 1471,265.9
657,Year 1470,265.9
658,Year 1470,265.9
659,Year 1469,266
660,Year 1468,266
661,Year 1467,266.1
662,Year 1466,266.1
663,Year 1465,266.2
664,Year 1465,266.2
665,Year 1464,266.2
666,Year 1463,266.3
667,Year 1462,266.3
668,Year 1461,266.4
669,Year 1460,266.4
670,Year 1460,266.4
671,Year 1459,266.5
672,Year 1458,266.6
673,Year 1457,266.6
674,Year 1456,266.7
675,Year 1455,266.7
676,Year 1454,266.8
677,Year 1454,266.8
678,Year 1453,266.8
679,Year 1452,266.9
680,Year 1451,266.9
681,Year 1450,267
682,Year 1449,267
683,Year 1449,267
684,Year 1448,267
685,Year 1447,267
686,Year 1446,267.1
687,Year 1445,267.1
688,Year 1444,267.1
689,Year 1444,267.1
690,Year 1443,267.1
691,Year 1442,267.1
692,Year 1441,267.1
693,Year 1440,267.1
694,Year 1439,267.1
695,Year 1439,267.1
696,Year 1438,267
697,Year 1437,267
698,Year 1436,267
699,Year 1435,267
700,Year 1434,266.9
701,Year 1434,266.9
702,Year 1433,266.9
703,Year 1432,266.9
704,Year 1431,266.8
705,Year 1430,266.8
706,Year 1429,266.8
707,Year 1429,266.8
708,Year 1428,266.7
709,Year 1427,266.7
710,Year 1426,266.7
711,Year 1425,266.6
712,Year 1424,266.6
713,Year 1424,266.6
714,Year 1423,266.5
715,Year 1422,266.5
716,Year 1421,266.5
717,Year 1420,266.4
718,Year 1419,266.4
719,Year 1418,266.4
720,Year 1418,266.4
721,Year 1417,266.3
722,Year 1416,266.3
723,Year 1415,266.3
724,Year 1414,266.3
725,Year 1413,266.2
726,Year 1413,266.2
727,Year 1412,266.2
728,Year 1411,266.2
729,Year 1410,266.2
730,Year 1409,266.2
731,Year 1408,266.2
732,Year 1408,266.2
733,Year 1407,266.2
734,Year 1406,266.2
735,Year 1405,266.2
736,Year 1404,266.2
737,Year 1403,266.2
738,Year 1403,266.2
739,Year 1402,266.2
740,Year 1401,266.2
741,Year 1400,266.2
742,Year 1399,266.3
743,Year 1398,266.3
744,Year 1398,266.3
745,Year 1397,266.3
746,Year 1396,266.3
747,Year 1395,266.4
748,Year 1394,266.4
749,Year 1393,266.4
750,Year 1393,266.4
751,Year 1392,266.5
752,Year 1391,266.5
753,Year 1390,266.6
754,Year 1389,266.6
755,Year 1388,266.6
756,Year 1387,266.7
757,Year 1387,266.7
758,Year 1386,266.7
759,Year 1385,266.8
760,Year 1384,266.8
761,Year 1383,266.9
762,Year 1382,266.9
763,Year 1382,266.9
764,Year 1381,267
765,Year 1380,267.1
766,Year 1379,267.1
767,Year 1378,267.2
768,Year 1377,267.2
769,Year 1377,267.2
770,Year 1376,267.3
771,Year 1375,267.4
772,Year 1374,267.4
773,Year 1373,267.5
774,Year 1372,267.5
775,Year 1372,267.5
776,Year 1371,267.6
777,Year 1370,267.7
778,Year 1369,267.7
779,Year 1368,267.8
780,Year 1367,267.9
781,Year 1367,267.9
782,Year 1366,267.9
783,Year 1365,268
784,Year 1364,268.1
785,Year 1363,268.1
786,Year 1362,268.2
787,Year 1362,268.2
788,Year 1361,268.3
789,Year 1360,268.3
790,Year 1359,268.4
791,Year 1358,268.4
792,Year 1357,268.5
793,Year 1357,268.5
794,Year 1356,268.6
795,Year 1355,268.6
796,Year 1354,268.7
797,Year 1353,268.7
798,Year 1352,268.8
799,Year 1351,268.9
800,Year 1351,268.9
801,Year 1350,268.9
802,Year 1349,269
803,Year 1348,269
804,Year 1347,269.1
805,Year 1346,269.1
806,Year 1346,269.1
807,Year 1345,269.2
808,Year 1344,269.2
809,Year 1343,269.3
810,Year 1342,269.3
811,Year 1341,269.4
812,Year 1341,269.4
813,Year 1340,269.4
814,Year 1339,269.4
815,Year 1338,269.5
816,Year 1337,269.5
817,Year 1336,269.6
818,Year 1336,269.6
819,Year 1335,269.6
820,Year 1334,269.6
821,Year 1333,269.6
822,Year 1332,269.7
823,Year 1331,269.7
824,Year 1331,269.7
825,Year 1330,269.7
826,Year 1329,269.7
827,Year 1328,269.7
828,Year 1327,269.7
829,Year 1326,269.7
830,Year 1326,269.7
831,Year 1325,269.8
832,Year 1324,269.8
833,Year 1323,269.8
834,Year 1322,269.8
835,Year 1321,269.8
836,Year 1321,269.8
837,Year 1320,269.7
838,Year 1319,269.7
839,Year 1318,269.7
840,Year 1317,269.7
841,Year 1316,269.7
842,Year 1315,269.7
843,Year 1315,269.7
844,Year 1314,269.7
845,Year 1313,269.7
846,Year 1312,269.6
847,Year 1311,269.6
848,Year 1310,269.6
849,Year 1310,269.6
850,Year 1309,269.6
851,Year 1308,269.5
852,Year 1307,269.5
853,Year 1306,269.5
854,Year 1305,269.4
855,Year 1305,269.4
856,Year 1304,269.4
857,Year 1303,269.4
858,Year 1302,269.3
859,Year 1301,269.3
860,Year 1300,269.3
861,Year 1300,269.3
862,Year 1299,269.2
863,Year 1298,269.2
864,Year 1297,269.2
865,Year 1296,269.1
866,Year 1295,269.1
867,Year 1295,269.1
868,Year 1294,269
869,Year 1293,269
870,Year 1292,269
871,Year 1291,268.9
872,Year 1290,268.9
873,Year 1290,268.9
874,Year 1289,268.8
875,Year 1288,268.8
876,Year 1287,268.7
877,Year 1286,268.7
878,Year 1285,268.6
879,Year 1285,268.6
880,Year 1284,268.6
881,Year 1283,268.6
882,Year 1282,268.5
883,Year 1281,268.5
884,Year 1280,268.4
885,Year 1279,268.4
886,Year 1279,268.4
887,Year 1278,268.3
888,Year 1277,268.3
889,Year 1276,268.3
890,Year 1275,268.2
891,Year 1274,268.2
892,Year 1274,268.2
893,Year 1273,268.1
894,Year 1272,268.1
895,Year 1271,268
896,Year 1270,268
897,Year 1269,268
898,Year 1269,268
899,Year 1268,267.9
900,Year 1267,267.9
901,Year 1266,267.9
902,Year 1265,267.8
903,Year 1264,267.8
904,Year 1264,267.8
905,Year 1263,267.8
906,Year 1262,267.7
907,Year 1261,267.7
908,Year 1260,267.7
909,Year 1259,267.6
910,Year 1259,267.6
911,Year 1258,267.6
912,Year 1257,267.6
913,Year 1256,267.6
914,Year 1255,267.5
915,Year 1254,267.5
916,Year 1254,267.5
917,Year 1253,267.5
918,Year 1252,267.5
919,Year 1251,267.5
920,Year 1250,267.5
921,Year 1249,267.4
922,Year 1249,267.4
923,Year 1248,267.4
924,Year 1247,267.4
925,Year 1246,267.4
926,Year 1245,267.4
927,Year 1244,267.4
928,Year 1243,267.4
929,Year 1243,267.4
930,Year 1242,267.4
931,Year 1241,267.4
932,Year 1240,267.4
933,Year 1239,267.4
934,Year 1238,267.4
935,Year 1238,267.4
936,Year 1237,267.4
937,Year 1236,267.4
938,Year 1235,267.4
939,Year 1234,267.4
940,Year 1233,267.4
941,Year 1233,267.4
942,Year 1232,267.4
943,Year 1231,267.4
944,Year 1230,267.4
945,Year 1229,267.4
946,Year 1228,267.4
947,Year 1228,267.4
948,Year 1227,267.4
949,Year 1226,267.4
950,Year 1225,267.4
951,Year 1224,267.5
952,Year 1223,267.5
953,Year 1223,267.5
954,Year 1222,267.5
955,Year 1221,267.5
956,Year 1220,267.5
