,temperature,year
336, -0.19°C,"January 2, 1746"
337, -0.19°C,"January 2, 1746"
338, -0.37°C,"January 2, 1745"
339, -0.42°C,"January 2, 1744"
340, -0.44°C,"January 2, 1743"
341, -0.49°C,"January 2, 1742"
342, -0.51°C,"January 2, 1741"
343, -0.51°C,"January 2, 1741"
344, -0.6°C,"January 2, 1740"
345, -0.68°C,"January 2, 1739"
346, -0.66°C,"January 2, 1738"
347, -0.6°C,"January 2, 1737"
348, -0.64°C,"January 2, 1736"
349, -0.64°C,"January 2, 1736"
350, -0.74°C,"January 2, 1735"
351, -0.67°C,"January 2, 1734"
352, -0.58°C,"January 2, 1733"
353, -0.53°C,"January 2, 1732"
354, -0.51°C,"January 2, 1731"
355, -0.51°C,"January 2, 1731"
356, -0.57°C,"January 2, 1730"
357, -0.54°C,"January 2, 1729"
358, -0.29°C,"January 2, 1728"
359, -0.09°C,"January 2, 1727"
360, -0.1°C,"January 2, 1726"
361, -0.1°C,"January 2, 1726"
362, -0.23°C,"January 2, 1725"
363, -0.39°C,"January 2, 1724"
364, -0.53°C,"January 2, 1723"
365, -0.49°C,"January 2, 1722"
366, -0.29°C,"January 2, 1721"
367, -0.22°C,"January 2, 1720"
368, -0.22°C,"January 2, 1720"
369, -0.34°C,"January 2, 1719"
370, -0.46°C,"January 2, 1718"
371, -0.53°C,"January 2, 1717"
372, -0.55°C,"January 2, 1716"
373, -0.52°C,"January 2, 1715"
374, -0.52°C,"January 2, 1715"
375, -0.49°C,"January 2, 1714"
376, -0.47°C,"January 2, 1713"
377, -0.46°C,"January 2, 1712"
378, -0.46°C,"January 2, 1711"
379, -0.49°C,"January 2, 1710"
380, -0.49°C,"January 2, 1710"
381, -0.62°C,"January 2, 1709"
382, -0.78°C,"January 2, 1708"
383, -0.72°C,"January 2, 1707"
384, -0.47°C,"January 2, 1706"
385, -0.4°C,"January 2, 1705"
386, -0.4°C,"January 2, 1705"
387, -0.53°C,"January 2, 1704"
388, -0.58°C,"January 2, 1703"
389, -0.5°C,"January 2, 1702"
390, -0.48°C,"January 2, 1701"
391, -0.57°C,"January 2, 1700"
392, -0.57°C,"January 2, 1700"
393, -0.7°C,"January 2, 1699"
394, -0.73°C,"January 2, 1698"
395, -0.69°C,"January 2, 1697"
396, -0.61°C,"January 2, 1696"
397, -0.52°C,"January 2, 1695"
398, -0.52°C,"January 2, 1695"
399, -0.5°C,"January 2, 1694"
400, -0.52°C,"January 2, 1693"
401, -0.54°C,"January 2, 1692"
402, -0.63°C,"January 2, 1691"
403, -0.74°C,"January 2, 1690"
404, -0.66°C,"January 2, 1689"
405, -0.66°C,"January 2, 1689"
406, -0.53°C,"January 2, 1688"
407, -0.59°C,"January 2, 1687"
408, -0.74°C,"January 2, 1686"
409, -0.76°C,"January 2, 1685"
410, -0.63°C,"January 2, 1684"
411, -0.63°C,"January 2, 1684"
412, -0.44°C,"January 2, 1683"
413, -0.44°C,"January 2, 1682"
414, -0.58°C,"January 2, 1681"
415, -0.59°C,"January 2, 1680"
416, -0.55°C,"January 2, 1679"
417, -0.55°C,"January 2, 1679"
418, -0.56°C,"January 2, 1678"
419, -0.6°C,"January 2, 1677"
420, -0.64°C,"January 2, 1676"
421, -0.61°C,"January 2, 1675"
422, -0.51°C,"January 2, 1674"
423, -0.51°C,"January 2, 1674"
424, -0.41°C,"January 2, 1673"
425, -0.34°C,"January 2, 1672"
426, -0.39°C,"January 2, 1671"
427, -0.58°C,"January 2, 1670"
428, -0.75°C,"January 2, 1669"
429, -0.75°C,"January 2, 1669"
430, -0.72°C,"January 2, 1668"
431, -0.51°C,"January 2, 1667"
432, -0.43°C,"January 2, 1666"
433, -0.5°C,"January 2, 1665"
434, -0.5°C,"January 2, 1664"
435, -0.5°C,"January 2, 1664"
436, -0.48°C,"January 2, 1663"
437, -0.44°C,"January 2, 1662"
438, -0.39°C,"January 2, 1661"
439, -0.41°C,"January 2, 1660"
440, -0.45°C,"January 2, 1659"
441, -0.45°C,"January 2, 1658"
442, -0.45°C,"January 2, 1658"
443, -0.47°C,"January 2, 1657"
444, -0.6°C,"January 2, 1656"
445, -0.71°C,"January 2, 1655"
446, -0.69°C,"January 2, 1654"
447, -0.62°C,"January 2, 1653"
448, -0.62°C,"January 2, 1653"
449, -0.52°C,"January 2, 1652"
450, -0.36°C,"January 2, 1651"
451, -0.28°C,"January 2, 1650"
452, -0.29°C,"January 2, 1649"
453, -0.4°C,"January 2, 1648"
454, -0.4°C,"January 2, 1648"
455, -0.58°C,"January 2, 1647"
456, -0.64°C,"January 2, 1646"
457, -0.62°C,"January 2, 1645"
458, -0.64°C,"January 2, 1644"
459, -0.74°C,"January 2, 1643"
460, -0.74°C,"January 2, 1643"
461, -0.8°C,"January 2, 1642"
462, -0.61°C,"January 2, 1641"
463, -0.34°C,"January 2, 1640"
464, -0.33°C,"January 2, 1639"
465, -0.45°C,"January 2, 1638"
466, -0.45°C,"January 2, 1638"
467, -0.45°C,"January 2, 1637"
468, -0.37°C,"January 2, 1636"
469, -0.36°C,"January 2, 1635"
470, -0.42°C,"January 2, 1634"
471, -0.58°C,"January 2, 1633"
472, -0.58°C,"January 2, 1633"
473, -0.77°C,"January 2, 1632"
474, -0.75°C,"January 2, 1631"
475, -0.57°C,"January 2, 1630"
476, -0.44°C,"January 2, 1629"
477, -0.43°C,"January 2, 1628"
478, -0.51°C,"January 2, 1627"
479, -0.51°C,"January 2, 1627"
480, -0.53°C,"January 2, 1626"
481, -0.44°C,"January 2, 1625"
482, -0.48°C,"January 2, 1624"
483, -0.53°C,"January 2, 1623"
484, -0.51°C,"January 2, 1622"
485, -0.51°C,"January 2, 1622"
486, -0.42°C,"January 2, 1621"
487, -0.37°C,"January 2, 1620"
488, -0.42°C,"January 2, 1619"
489, -0.42°C,"January 2, 1618"
490, -0.32°C,"January 2, 1617"
491, -0.32°C,"January 2, 1617"
492, -0.28°C,"January 2, 1616"
493, -0.38°C,"January 2, 1615"
494, -0.54°C,"January 2, 1614"
495, -0.61°C,"January 2, 1613"
496, -0.56°C,"January 2, 1612"
497, -0.56°C,"January 2, 1612"
498, -0.47°C,"January 2, 1611"
499, -0.45°C,"January 2, 1610"
500, -0.53°C,"January 2, 1609"
501, -0.65°C,"January 2, 1608"
502, -0.66°C,"January 2, 1607"
503, -0.66°C,"January 2, 1607"
504, -0.58°C,"January 2, 1606"
505, -0.53°C,"January 2, 1605"
506, -0.54°C,"January 2, 1604"
507, -0.54°C,"January 2, 1603"
508, -0.55°C,"January 2, 1602"
509, -0.68°C,"January 2, 1601"
510, -0.68°C,"January 2, 1601"
511, -0.77°C,"January 2, 1600"
512, -0.61°C,"January 2, 1599"
513, -0.48°C,"January 2, 1598"
514, -0.51°C,"January 2, 1597"
515, -0.55°C,"January 2, 1596"
516, -0.55°C,"January 2, 1596"
517, -0.52°C,"January 2, 1595"
518, -0.53°C,"January 2, 1594"
519, -0.7°C,"January 2, 1593"
520, -0.82°C,"January 2, 1592"
521, -0.84°C,"January 2, 1591"
522, -0.84°C,"January 2, 1591"
523, -0.86°C,"January 2, 1590"
524, -0.73°C,"January 2, 1589"
525, -0.58°C,"January 2, 1588"
526, -0.57°C,"January 2, 1587"
527, -0.68°C,"January 2, 1586"
528, -0.68°C,"January 2, 1586"
529, -0.74°C,"January 2, 1585"
530, -0.65°C,"January 2, 1584"
