,temperature,year
1486, -0.1°C,"January 2, 1059"
1487, -0.1°C,"January 2, 1058"
1488, -0.08°C,"January 2, 1057"
1489, -0.15°C,"January 2, 1056"
1490, -0.18°C,"January 2, 1055"
1491, -0.12°C,"January 2, 1054"
1492, -0.1°C,"January 2, 1053"
1493, -0.1°C,"January 2, 1053"
1494, -0.07°C,"January 2, 1052"
1495, -0.03°C,"January 2, 1051"
1496, -0.08°C,"January 2, 1050"
1497, -0.22°C,"January 2, 1049"
1498, -0.24°C,"January 2, 1048"
1499, -0.24°C,"January 2, 1048"
1500, -0.06°C,"January 2, 1047"
1501, 0.03°C,"January 2, 1046"
1502, -0.06°C,"January 2, 1045"
1503, -0.18°C,"January 2, 1044"
1504, -0.13°C,"January 2, 1043"
1505, -0.13°C,"January 2, 1043"
1506, 0.08°C,"January 2, 1042"
1507, 0.18°C,"January 2, 1041"
1508, 0.11°C,"January 2, 1040"
1509, 0.06°C,"January 2, 1039"
1510, 0.06°C,"January 2, 1038"
1511, 0.06°C,"January 2, 1038"
1512, 0.02°C,"January 2, 1037"
1513, -0.07°C,"January 2, 1036"
1514, -0.1°C,"January 2, 1035"
1515, -0.06°C,"January 2, 1034"
1516, -0.03°C,"January 2, 1033"
1517, -0.03°C,"January 2, 1033"
1518, 0.05°C,"January 2, 1032"
1519, 0.16°C,"January 2, 1031"
1520, 0.2°C,"January 2, 1030"
1521, 0.19°C,"January 2, 1029"
1522, 0.18°C,"January 2, 1028"
1523, 0.1°C,"January 2, 1027"
1524, 0.1°C,"January 2, 1027"
1525, 0.01°C,"January 2, 1026"
1526, 0.07°C,"January 2, 1025"
1527, 0.21°C,"January 2, 1024"
1528, 0.18°C,"January 2, 1023"
1529, 0.02°C,"January 2, 1022"
1530, 0.02°C,"January 2, 1022"
1531, 0.04°C,"January 2, 1021"
1532, 0.17°C,"January 2, 1020"
1533, 0.21°C,"January 2, 1019"
1534, 0.29°C,"January 2, 1018"
1535, 0.4°C,"January 2, 1017"
1536, 0.4°C,"January 2, 1017"
1537, 0.37°C,"January 2, 1016"
1538, 0.19°C,"January 2, 1015"
1539, 0.02°C,"January 2, 1014"
1540, 0.02°C,"January 2, 1013"
1541, 0.1°C,"January 2, 1012"
1542, 0.1°C,"January 2, 1012"
1543, 0.11°C,"January 2, 1011"
1544, 0.07°C,"January 2, 1010"
1545, 0.08°C,"January 2, 1009"
1546, 0.19°C,"January 2, 1008"
1547, 0.2°C,"January 2, 1007"
1548, 0.2°C,"January 2, 1007"
1549, -0.02°C,"January 2, 1006"
1550, -0.15°C,"January 2, 1005"
1551, -0.04°C,"January 2, 1004"
1552, 0.03°C,"January 2, 1003"
1553, -0.01°C,"January 2, 1002"
1554, -0.01°C,"January 2, 1002"
1555, -0.01°C,"January 2, 1001"
1556, 0.07°C,"January 2, 1000"
1557, 0.07°C,"January 2, 1000"
1558, 0.07°C,"January 2, 1000"
1559, 0.07°C,"January 2, 1000"
1560, 0.07°C,"January 2, 1000"
